# === TILT-CONTRACT-MANIFEST ===
# task_id: C04
# spec_version: V1.3
# ssot_checksum: TL-SSOT-2026-09-20-A
# baseline_version: B1.0
# produced_by: 元宝（Yuanbao）
# produced_at: 2026-09-20
# batch: all
# output_files:
#   - resources.csv   (rows: 227)
# unverified_count: 198
# self_check:
#   frozen_ids_only: true
#   enum_from_spec: true
#   no_absolute_claims: true
#   no_new_concepts: true
#   spec_numbers_unchanged: true
# known_deviations:
#   - 列序按第6.1节与6.2示例行执行（末尾为 verify_status,source）；第4.1节写作"末尾两列为 source、verify_status"，两处冲突，已按任务节执行并在此报备
#   - url_or_location 全部为"平台名 · 入口位置"、无具体链接，故 platform/community/tool 行 verify_status 均为 待核验
# === END MANIFEST ===
domain_id,resource_type,name,url_or_location,why_recommended,verify_status,source
writing_general,platform,"知乎 · 写作话题","知乎 · 写作话题页","每天发一篇 300-800 字短文，看赞同与评论的数量与内容变化，为 4 周内的反馈速度与重复意愿提供连续数据",待核验,cloud-draft
writing_general,platform,"简书 · 写作专题投稿","简书 · 专题投稿页","投稿有明确发布对象与审核结果，可稳定统计连续更新天数与完成率",待核验,cloud-draft
writing_general,community,"豆瓣 · 写作小组","豆瓣 · 写作相关小组","把文章贴进小组求点评，拿到他人视角的修改意见，检验细节敏感度",待核验,cloud-draft
writing_general,book,"《写作这回事》斯蒂芬·金","公开出版物 · 书名检索","按书中固定字数、写完再改的做法执行 4 周，让练习动作可重复、可计量",ok,cloud-draft
writing_general,tool,"石墨文档 · 历史版本","石墨文档 · 文档修订记录","每次改稿都留下版本记录，可量化主动优化倾向与改稿深度",待核验,cloud-draft
translation,platform,"TED · 双语字幕演讲","TED · Talks 字幕页","每天译 1-2 分钟演讲稿再对照官方译文，立刻看到差距，是典型的短反馈练习",待核验,cloud-draft
translation,platform,"译言网 · 译文发布区","译言网 · 译文发布区","把译文公开发布并接受读者纠错，可统计被指出错误数量的下降趋势",待核验,cloud-draft
translation,community,"知乎 · 翻译话题","知乎 · 翻译话题页","译法争议讨论密集，可把拿不准的句子贴出去求判断，练细节敏感度",待核验,cloud-draft
translation,book,"《英汉翻译教程》张培基","公开出版物 · 书名检索","每章翻译练习可作为每周固定作业，便于对比第 1 周与第 4 周的译文差异",待核验,cloud-draft
translation,tool,"DeepL · 网页翻译框","DeepL · 网页版","先自己译再对照机器译文并标出机器译错的句子，命中率可作为细节敏感度的代理指标",待核验,cloud-draft
podcasting,platform,"小宇宙 · 主播后台","小宇宙 · 播客上传页","每周录一期 5-10 分钟节目，看播放与完播数据，检验你对听众节奏的把握",待核验,cloud-draft
podcasting,platform,"喜马拉雅 · 个人电台","喜马拉雅 · 创作中心","订阅数与留言是外部反馈，可观察选题变化是否带来留存变化",待核验,cloud-draft
podcasting,community,"知乎 · 播客话题","知乎 · 播客话题页","可请教选题与设备问题，避免前两周卡在工具上而错过练习本身",待核验,cloud-draft
podcasting,tool,"Audacity · 桌面端","Audacity · 录音与降噪","免费录音并做基础降噪，自己听回放即可发现口头禅与节奏问题，练自我修正",待核验,cloud-draft
teaching,platform,"B站 · 知识区投稿","B站 · 投稿入口","把 5 分钟讲解录成视频发出去，用弹幕与评论判断哪里没讲清楚",待核验,cloud-draft
teaching,platform,"知乎 · 教育话题回答","知乎 · 教育话题页","每天用 300 字讲清一个概念，看点赞与收藏的比例，检验表达效率",待核验,cloud-draft
teaching,community,"豆瓣 · 学习与互助小组","豆瓣 · 学习相关小组","找同伴当学生做 15 分钟试讲并收反馈，直接看到对方是否真的听懂",待核验,cloud-draft
teaching,book,"《教学的勇气》帕克·帕尔默","公开出版物 · 书名检索","每周围绕书中一个观点写一段教学反思，帮你看清自己更偏向讲结构还是陪练",ok,cloud-draft
teaching,tool,"腾讯会议 · 在线试讲录制","腾讯会议 · 云录制","回看录像可客观统计讲解与提问的时间比，让改进有依据",待核验,cloud-draft
debating,platform,"知乎 · 辩论话题","知乎 · 辩论话题页","每天对一个争议题写 200 字立论并接受反驳，练立论速度与预判能力",待核验,cloud-draft
debating,platform,"B站 · 辩论赛事录像","B站 · 辩论赛事视频","看一段录像后先写自己的框架再对照选手框架，检验框架完整度",待核验,cloud-draft
debating,community,"豆瓣 · 辩论与演讲小组","豆瓣 · 辩论相关小组","约线上 1v1 短辩，直接拿到对手的即时反驳，是反馈速度最快的练习",待核验,cloud-draft
debating,tool,"Xmind · 论证结构图","Xmind · 思维导图","把论点拆成主张、依据、反驳三层，回看结构变化可量化 4 周的逻辑进步",待核验,cloud-draft
script_writing,platform,"知乎 · 编剧话题","知乎 · 编剧话题页","每天写一场戏的对话并发布，看读者对人物动机的理解是否与你想的一致",待核验,cloud-draft
script_writing,platform,"B站 · 编剧教学视频","B站 · 编剧教学区","按视频中的结构方法拆解一部熟悉的电影，产出可对比的分析笔记",待核验,cloud-draft
script_writing,community,"豆瓣 · 剧本与影视小组","豆瓣 · 剧本相关小组","贴一页剧本求反馈，别人的疑问正好暴露你没有写清楚的地方",待核验,cloud-draft
script_writing,book,"《故事》罗伯特·麦基","公开出版物 · 书名检索","用'场景必须有价值转折'作为每周改稿的检查项，让修改标准统一",ok,cloud-draft
script_writing,tool,"Final Draft · 剧本编辑器","Final Draft · 试用版","标准格式让你专注在叙事本身，也方便别人阅读并给出反馈",待核验,cloud-draft
blogging,platform,"知乎 · 个人专栏","知乎 · 专栏页","每周发布一篇长文，阅读与评论曲线能反映选题是否真的有人关心",待核验,cloud-draft
blogging,platform,"微信公众号 · 个人订阅号","微信公众平台 · 后台","固定更新频率可统计连续发布天数，订阅数变化是慢但真实的反馈",待核验,cloud-draft
blogging,community,"豆瓣 · 博客与写作小组","豆瓣 · 写作相关小组","互相读对方的更新并留言，形成稳定的反馈来源，避免自说自话",待核验,cloud-draft
blogging,tool,"Notion · 选题与草稿库","Notion · 数据库视图","用看板记录选题、草稿、已发布状态，可直接统计 4 周的产出节奏",待核验,cloud-draft
go,platform,"野狐围棋 · 对局平台","野狐围棋 · 对局大厅","每天 1-2 盘快棋，等级分变化是 4 周进步斜率最客观的指标",待核验,cloud-draft
go,platform,"弈城围棋 · 对局平台","弈城围棋 · 对局大厅","换一个对手池可检验进步是否只在熟悉的对手身上成立",待核验,cloud-draft
go,community,"知乎 · 围棋话题","知乎 · 围棋话题页","贴棋谱求复盘，别人的判断能暴露你自己看不到的盲点",待核验,cloud-draft
go,tool,"KataGo · 本地分析引擎","KataGo · 开源分析引擎","每盘后算胜率曲线，量化从哪一步开始崩、以及重复犯的是哪类错误",待核验,cloud-draft
chess,platform,"Lichess · 在线对局","Lichess · 对局与题库","免注册即可下棋且自动记录等级分，每天一盘就能得到连续曲线",待核验,cloud-draft
chess,platform,"Chess.com · 每日谜题","Chess.com · 谜题练习","谜题有即时对错与难度分，可分开观察计算力与大局观的变化",待核验,cloud-draft
chess,community,"知乎 · 国际象棋话题","知乎 · 国际象棋话题页","发自己的对局求复盘，能快速定位开局与中局的薄弱点",待核验,cloud-draft
