# === TILT-CONTRACT-MANIFEST ===
# task_id: C10
# spec_version: V1.3
# ssot_checksum: TL-SSOT-2026-09-20-A
# baseline_version: B1.0
# produced_by: 元宝(Yuanbao)
# produced_at: 2026-09-20
# batch: all
# output_files:
#   - copy/tone_guide.csv   (rows: 100)
# unverified_count: 0
# self_check:
#   frozen_ids_only: true
#   enum_from_spec: true
#   no_absolute_claims: true
#   no_new_concepts: true
#   spec_numbers_unchanged: true
# known_deviations:
#   - "本任务两个 CSV 无领域维度，行序按场景/天数排列（4.1 的领域序约束不适用）"
#   - "CSV 顶部 manifest 按 4.5 执行，与 4.1「第一行为表头」的字面表述冲突，此处取 4.5"
# === END MANIFEST ===
"scenario","forbidden_sentence","recommended_sentence","why","source","verify_status"
"coordinate_cognitive_style_visual","你是视觉型的人，以后就走视觉类方向。","你的 18 道题里认知风格偏向 visual：50 个领域中有 7 个属于空间智能，挑 1 个试 4 周还是跳过，取决于你的个人偏好。","坐标系只描述倾向，不构成方向判定；用领域数量给出可执行的下一步，判断权交回用户。","cloud-draft","ok"
"coordinate_cognitive_style_textual","你文字能力强，适合靠写字谋生。","认知风格偏向 textual：语言智能类有 7 个领域，写作（通用）writing_general 只是其中之一，筛不筛它你说了算。","禁止把倾向翻译成职业结论（SPEC 11.4），改为列出候选并交回选择权。","cloud-draft","ok"
"coordinate_cognitive_style_logical","你逻辑好，直接学编程吧。","认知风格偏向 logical：逻辑-数学智能类有 7 个领域，编程 programming 的启动成本是 4，是否放进 3-5 个候选由你决定。","不替用户做单一领域决策；用启动成本提示投入代价。","cloud-draft","ok"
"coordinate_cognitive_style_bodily","你坐不住，别碰需要久坐的事。","认知风格偏向 bodily：身体-运动智能类有 7 个领域，每天 15-30 分钟的动手型任务可能更容易坚持，试不试由你定。","禁止否定式判定，改为条件式、可验证的建议。","cloud-draft","ok"
"coordinate_cognitive_style_auditory","你是听觉型，学东西只能靠听。","认知风格偏向 auditory：播客主持 podcasting 启动成本 3、唱歌 singing 启动成本 2，配一轮 4 周试跑看看，判断权在你。","用 SPEC 数值引导，不对能力上限下断言。","cloud-draft","ok"
"coordinate_energy_source_solitude","你内向，做不了销售。","能量来源偏向 solitude：每天 15-30 分钟的独处型任务可能更省电；销售 sales 要不要进候选，取决于你的个人偏好。","能量来源描述充电方式，不等于职业适配度。","cloud-draft","ok"
"coordinate_energy_source_social","你外向，一定要做和人打交道的事。","能量来源偏向 social：人际智能类有 6 个领域，挑 1-2 个放进 4 周试跑，具体哪几个由你决定。","倾向只是筛领域的线索，不生成路线安排。","cloud-draft","ok"
"coordinate_energy_source_competition","你就是要赢，去做对抗类。","能量来源偏向 competition：羽毛球 badminton 反馈速度 5、辩论 debating 反馈速度 4，纳不纳入 3-5 个候选由你定。","用领域属性（反馈速度）替代人格标签。","cloud-draft","ok"
"coordinate_energy_source_collaboration","你适合团队协作型岗位。","能量来源偏向 collaboration：机制强度 3 以上的领域有 17 个，优先放几个进 4 周试跑，选谁你说了算。","不把协作偏好翻译成岗位结论，只给筛选线索。","cloud-draft","ok"
"coordinate_feedback_speed_short","你没耐心，长反馈的领域直接放弃。","反馈速度偏向 short：反馈速度标为 5 的领域有 6 个（如 running、fitness、badminton），挑 1 个跑 4 周，其余的你可以再试一轮看看。","禁止“放弃”式结论，改为优先级排序建议。","cloud-draft","ok"
"coordinate_feedback_speed_long","你做不了长期没回报的事。","反馈速度偏向 long：哲学 philosophy 的反馈速度只有 1，愿意等到第 4 周再看斜率的话可以放进来，决定权在你。","用领域数值呈现等待成本，不做能力否定。","cloud-draft","ok"
"coordinate_value_orientation_creation","你天生就是创作者。","价值取向偏向 creation：50 个领域里先筛一批有明确产出的，4 周后再看斜率对比，要不要深入由你决定。","价值取向描述动机，不描述天赋等级。","cloud-draft","ok"
